,BTS,GROUPE,X,Y,commune_id
5332,42X111,CENTRE_AUX,2.20035,36.6065,3362.0
5333,30X033,AUXILIARY BL,5.33321,31.9521,2818.0
5335,46X016,AUXILIARY BL,-0.96747,35.38,3124.0
5337,12X039,CONSTANTINE_AUX,8.24165,35.3733,3549.0
5342,09X190,CENTRE_AUX,3.04211,36.5252,3332.0
5343,21X040,CONSTANTINE_AUX,7.30516,36.7003,3179.0
5344,09X040,CENTRE_AUX,3.15055,36.5636,2870.0
5348,09X073,CENTRE_AUX,2.69485,36.4671,3100.0
5350,20X013,TLEMCEN_AUX,0.32192,34.8242,2706.0
5354,01X015,SUD_AUX,0.72326,29.7104,3550.0
5358,18X035,CONSTANTINE_AUX,5.88397,36.7636,2923.0
5362,07X113,SETIF_AUX,5.72881,34.8292,2816.0
5366,24X055,CONSTANTINE_AUX,7.11747,36.4701,3551.0
5368,25X200,CONSTANTINE_AUX,6.58342,36.4123,2879.0
5380,16X1234,SETIF_AUX,2.98536,36.66273,3144.0
5381,12X093,CONSTANTINE_AUX,8.10209,35.3899,2697.0
5382,27X008,ORAN_AUX,0.08869,35.92264,2726.0
5387,16X170,AUXILIARY BL,2.92009,36.8018,2956.0
5388,24X020,CONSTANTINE_AUX,7.78367,36.4352,3552.0
5395,06X209,SETIF_AUX,4.57921,36.729,3553.0
5398,28X002,SETIF_AUX,4.5372,35.7197,2699.0
5400,40X042,CONSTANTINE_AUX,7.15035,35.4315,2729.0
5403,16X719,ALGER_AUX,3.19251,36.749,2791.0
5408,29X060,ORAN_AUX,0.06381,35.5888,2898.0
5410,20X025,AUXILIARY BL,0.14108,34.8343,2841.0
5412,08X005,SUD_AUX,-2.22969,31.59664,2829.0
5417,25X252,CONSTANTINE_AUX,6.64289,36.3261,2764.0
5418,43X119,CONSTANTINE_AUX,6.24023,36.5071,3396.0
5419,35X043,CENTRE_AUX,3.4274,36.713,2858.0
5420,16X403,ALGER_AUX,3.34053,36.7331,2796.0
5421,31X098,ORAN_AUX,-0.60856,35.6997,2787.0
5423,15X073,AUXILIARY BL,4.05417,36.7034,2683.0
5424,13X222,TLEMCEN_AUX,-1.79278,34.9773,3554.0
5427,16X167,ALGER_AUX,2.99522,36.7516,2716.0
5433,28X096,SETIF_AUX,4.38059,35.5177,3555.0
5436,26X053,CENTRE_AUX,3.13828,36.1583,3556.0
5437,19X278,SETIF_AUX,5.29093,35.9135,2819.0
5441,05X123,SETIF_AUX,5.90023,35.3731,3135.0
5447,36X104,CONSTANTINE_AUX,8.32288,36.75988,2755.0
5448,16X524,ALGER_AUX,3.31134,36.7861,2717.0
5456,18X101,CONSTANTINE_AUX,6.05594,36.8546,3557.0
5459,39M06,SUD_AUX,7.02995,33.6013,3558.0
5460,46X069,TLEMCEN_AUX,-1.13214,35.3024,2993.0
5468,31X040,AUXILIARY BL,-0.53894,35.7235,2833.0
5469,21X066,CONSTANTINE_AUX,6.4276,36.7433,2875.0
5470,30X098,SUD_AUX,6.06506,33.0939,2936.0
5475,06X144,AUXILIARY BL,4.58615,36.5162,3493.0
5482,17X006,SUD_AUX,3.12664,34.8156,3559.0
5484,31X285,AUXILIARY BL,-0.45153,35.55008,3369.0
5488,30X115,SUD_AUX,5.34502,31.9456,2818.0
5489,28X017,SETIF_AUX,5.09636,35.6169,3560.0
5494,18X051,CONSTANTINE_AUX,5.59828,36.7758,3372.0
5495,13X299,TLEMCEN_AUX,-1.76066,34.8508,2692.0
5496,48X009,AUXILIARY BL,0.83183,35.92997,2873.0
5499,16M84,ALGER_AUX,3.08647,36.7377,2691.0
5505,16X415,ALGER_AUX,3.08171,36.6482,2834.0
